original_stem,tidied,top_score,suggested_display,suggested_artist,suggested_title,year,genre
Doobie Brothers - Long Train Runnin,Doobie Brothers - Long Train Runnin,110,The Doobie Brothers - Long Train Runnin',The Doobie Brothers,Long Train Runnin',1973,Rock
Dr Hook - A Little Bit More,Dr Hook - A Little Bit More,130,Dr. Hook - A Little Bit More,Dr. Hook,A Little Bit More,1976,Rock
Drake - Hotline Bling,Drake - Hotline Bling,125,Drake - Hotline Bling,Drake,Hotline Bling,2015,Hip-Hop/Rap
Drake Ft Rihanna And Popcaan - Too Good,Drake Ft Rihanna And Popcaan - Too Good,115,Drake - Too Good (feat. Rihanna),Drake,Too Good (feat. Rihanna),2016,Hip-Hop/Rap
Drifters - Kissing In The Back Row Of The Movies,Drifters - Kissing In The Back Row Of The Movies,105,The Drifters - Kissing in the Back Row,The Drifters,Kissing in the Back Row,2006,R&B/Soul
Drifters - Under The Boardwalk,Drifters - Under The Boardwalk,120,The Drifters - Under the Boardwalk,The Drifters,Under the Boardwalk,1963,Rock
Duran Duran - Girls On Film,Duran Duran - Girls On Film,130,Duran Duran - Girls On Film,Duran Duran,Girls On Film,1981,New Wave
Duran Duran - Hungry Like The Wolf,Duran Duran - Hungry Like The Wolf,130,Duran Duran - Hungry Like the Wolf,Duran Duran,Hungry Like the Wolf,1982,New Wave
Duran Duran - Rio,Duran Duran - Rio,130,Duran Duran - Rio,Duran Duran,Rio,1982,New Wave
Dusty Springfield - Son Of A Preacher Man,Dusty Springfield - Son Of A Preacher Man,130,Dusty Springfield - Son of a Preacher Man,Dusty Springfield,Son of a Preacher Man,1968,Pop
Dwight Yoakam - Crazy Little Thing Called Love,Dwight Yoakam - Crazy Little Thing Called Love,130,Dwight Yoakam - Crazy Little Thing Called Love,Dwight Yoakam,Crazy Little Thing Called Love,1999,Country
Eagles - Take It Easy,Eagles - Take It Easy,130,Eagles - Take It Easy,Eagles,Take It Easy,1972,Rock
Earth Wind & Fire - Boogie Wonderland,Earth Wind & Fire - Boogie Wonderland,130,"Earth, Wind & Fire - Boogie Wonderland","Earth, Wind & Fire",Boogie Wonderland,1979,Soundtrack
Ed Sheeran - Castle on the hill,Ed Sheeran - Castle on the hill,130,Ed Sheeran - Castle on the Hill,Ed Sheeran,Castle on the Hill,2017,Pop
Ed Sheeran - Eraser,Ed Sheeran - Eraser,130,Ed Sheeran - Eraser,Ed Sheeran,Eraser,2017,Pop
Ed Sheeran - I See Fire,Ed Sheeran - I See Fire,130,Ed Sheeran - I See Fire,Ed Sheeran,I See Fire,2013,Soundtrack
Ed Sheeran - Thinking Out Loud,Ed Sheeran - Thinking Out Loud,130,Ed Sheeran - Thinking Out Loud,Ed Sheeran,Thinking Out Loud,2014,Pop
Ed Sheeran - What Do I Know,Ed Sheeran - What Do I Know,120,Ed Sheeran - What Do I Know?,Ed Sheeran,What Do I Know?,2017,Pop
Eddie Cochran - Summertime Blues,Eddie Cochran - Summertime Blues,130,Eddie Cochran - Summertime Blues,Eddie Cochran,Summertime Blues,1958,Rock
Eddie Grant - I Don't Wanna Dance,Eddie Grant - I Don't Wanna Dance,55,I Don't Wanna Dance (In the Style of Eddie Grant) - Karaoke All-Stars,Karaoke All-Stars,I Don't Wanna Dance (In the Style of Eddie Grant),2007,Karaoke
Ella Henderson - Ghost,Ella Henderson - Ghost,130,Ella Henderson - Ghost,Ella Henderson,Ghost,2014,Pop
Ellie Goulding - Army,Ellie Goulding - Army,130,Ellie Goulding - Army,Ellie Goulding,Army,2015,Pop
Ellie Goulding - How Long Will I Love You,Ellie Goulding - How Long Will I Love You,130,Ellie Goulding - How Long Will I Love You,Ellie Goulding,How Long Will I Love You,2013,Soundtrack
Elton John & Kiki Dee - Don't Go Breaking My Heart,Elton John & Kiki Dee - Don't Go Breaking My Heart,130,Elton John & Kiki Dee - Don't Go Breaking My Heart,Elton John & Kiki Dee,Don't Go Breaking My Heart,1976,Rock
Elton John - Crocodile Rock,Elton John - Crocodile Rock,130,Elton John - Crocodile Rock,Elton John,Crocodile Rock,1972,Pop
Elton John - Don't Let the Sun Go Down On Me,Elton John - Don't Let the Sun Go Down On Me,130,Elton John - Don't Let the Sun Go Down On Me,Elton John,Don't Let the Sun Go Down On Me,1974,Pop
Elton John - Rocket Man,Elton John - Rocket Man,120,Elton John - Rocket Man (I Think It's Going to Be a Long Long Time),Elton John,Rocket Man (I Think It's Going to Be a Long Long Time),1972,Pop
Elton John - Your Song,Elton John - Your Song,130,Elton John - Your Song,Elton John,Your Song,1970,Pop
Elvis Costello & The Attractions - Olivers Army,Elvis Costello & The Attractions - Olivers Army,90,Elvis Costello & The Attractions - Oliver's Army,Elvis Costello & The Attractions,Oliver's Army,1979,Pop
Elvis Presley - Hound Dog,Elvis Presley - Hound Dog,130,Elvis Presley - Hound Dog,Elvis Presley,Hound Dog,1956,Rock
Elvis Presley - Jailhouse Rock,Elvis Presley - Jailhouse Rock,130,Elvis Presley - Jailhouse Rock,Elvis Presley,Jailhouse Rock,1957,Rock
Elvis Presley - Return To Sender,Elvis Presley - Return To Sender,130,Elvis Presley - Return to Sender,Elvis Presley,Return to Sender,1962,Rock
Elvis Presley - Suspicious Minds,Elvis Presley - Suspicious Minds,130,Elvis Presley - Suspicious Minds,Elvis Presley,Suspicious Minds,1969,Rock
Emeli Sandé - Clown,Emeli Sandé - Clown,130,Emeli Sandé - Clown,Emeli Sandé,Clown,2012,Pop
Eric Carmen - Hungry Eyes,Eric Carmen - Hungry Eyes,130,Eric Carmen - Hungry Eyes,Eric Carmen,Hungry Eyes,1987,Soundtrack
Etta James - At Last,Etta James - At Last,130,Etta James - At Last,Etta James,At Last,1960,Blues
Europe - The Final Countdown,Europe - The Final Countdown,130,Europe - The Final Countdown,Europe,The Final Countdown,1986,Hard Rock
Eva Cassidy - Over the Rainbow,Eva Cassidy - Over the Rainbow,130,Eva Cassidy - Over The Rainbow,Eva Cassidy,Over The Rainbow,1998,Adult Contemporary
Everly Brothers - Wake Up Little Susie,Everly Brothers - Wake Up Little Susie,120,The Everly Brothers - Wake Up Little Susie,The Everly Brothers,Wake Up Little Susie,1958,Pop
Fairground Attraction - Perfect,Fairground Attraction - Perfect,130,Fairground Attraction - Perfect,Fairground Attraction,Perfect,1988,Pop
Fats Domino - Blueberry Hill,Fats Domino - Blueberry Hill,130,Fats Domino - Blueberry Hill,Fats Domino,Blueberry Hill,1959,Blues
Fernando - KARAOKE VERSION - as popularized by ABBA-----3TDAUh4dE,Fernando - ABBA,130,Fernando - ABBA,ABBA,Fernando,1976,Pop
Five - If You're Getting Down,Five - If You're Getting Down,50,Five - If Ya Gettin' Down,Five,If Ya Gettin' Down,1999,Pop
Flo Rida - Whistle,Flo Rida - Whistle,130,Flo Rida - Whistle,Flo Rida,Whistle,2012,Electronic
Foreigner - I Want to Know What Love Is,Foreigner - I Want to Know What Love Is,130,Foreigner - I Want to Know What Love Is,Foreigner,I Want to Know What Love Is,1984,Rock
Foundations - Build Me Up Buttercup,Foundations - Build Me Up Buttercup,120,The Foundations - Build Me Up Buttercup,The Foundations,Build Me Up Buttercup,1967,Pop
"Four Tops - I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops - I Can't Help Myself,120,"Four Tops - I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,"I Can't Help Myself (Sugar Pie, Honey Bunch)",1965,Pop
Frank Sinatra - My Way,Frank Sinatra - My Way,130,Frank Sinatra - My Way,Frank Sinatra,My Way,1969,Jazz
"Frank Sinatra - New York, New York","Frank Sinatra - New York, New York",120,"Frank Sinatra - Theme From New York, New York",Frank Sinatra,"Theme From New York, New York",1980,Jazz
Frankie Goes To Hollywood - Power Of Love,Frankie Goes To Hollywood - Power Of Love,120,Frankie Goes to Hollywood - The Power Of Love,Frankie Goes to Hollywood,The Power Of Love,1984,Pop
Frankie Goes To Hollywood - Relax,Frankie Goes To Hollywood - Relax,130,Frankie Goes to Hollywood - Relax,Frankie Goes to Hollywood,Relax,1983,Pop
Gabrielle - Dreams,Gabrielle - Dreams,130,Gabrielle - Dreams,Gabrielle,Dreams,1999,Pop
Gary Barlow - Let me Go,Gary Barlow - Let me Go,130,Gary Barlow - Let Me Go,Gary Barlow,Let Me Go,2013,Pop
George Ezra - Budapest,George Ezra - Budapest,130,George Ezra - Budapest,George Ezra,Budapest,2013,Pop
George Ezra - Dont Matter Now,George Ezra - Dont Matter Now,115,George Ezra - Don't Matter Now,George Ezra,Don't Matter Now,2017,Singer/Songwriter
George Michael - Amazing,George Michael - Amazing,130,George Michael - Amazing,George Michael,Amazing,2004,Pop
George Michael - Careless Wisper,George Michael - Careless Wisper,50,George Michael - Careless Whisper,George Michael,Careless Whisper,1984,Pop
George Michael - Faith,George Michael - Faith,130,George Michael - Faith,George Michael,Faith,1987,Pop
Geri Halliwell - Mi Chico Latino,Geri Halliwell - Mi Chico Latino,130,Geri Halliwell - Mi Chico Latino,Geri Halliwell,Mi Chico Latino,1999,Pop
Girls Aloud - The Promise,Girls Aloud - The Promise,130,Girls Aloud - The Promise,Girls Aloud,The Promise,2008,Pop
Glenn Frey - The Heat Is On,Glenn Frey - The Heat Is On,130,Glenn Frey - The Heat Is On,Glenn Frey,The Heat Is On,1984,Soundtrack
Gloria Gaynor - I Am What I Am,Gloria Gaynor - I Am What I Am,130,Gloria Gaynor - I Am What I Am,Gloria Gaynor,I Am What I Am,2008,Adult Contemporary
Gloria Gaynor - I Will Survive,Gloria Gaynor - I Will Survive,130,Gloria Gaynor - I Will Survive,Gloria Gaynor,I Will Survive,1978,Pop
Gnarls Barkley - Crazy,Gnarls Barkley - Crazy,130,Gnarls Barkley - Crazy,Gnarls Barkley,Crazy,2005,Alternative
Go West - We Close Our Eyes,Go West - We Close Our Eyes,130,Go West - We Close Our Eyes,Go West,We Close Our Eyes,1985,Pop
"Grease - Look At Me, I'm Sandra Dee","Grease - Look At Me, I'm Sandra Dee",50,"Look at Me, I'm Sandra Dee - Stockard Channing",Stockard Channing,"Look at Me, I'm Sandra Dee",1978,Musicals
Guns N' Roses - Knockin On Heavens Door,Guns N' Roses - Knockin On Heavens Door,120,Guns N' Roses - Knockin' On Heaven's Door,Guns N' Roses,Knockin' On Heaven's Door,1991,Rock
